sku_id,current_ad_spend_per_unit,roas,conversion_rate,ctr,cpc,last_30d_sales,avg_daily_sessions,conversion_benchmark
FAB-KRT-CH-001,350,5.2,2.8,3.5,15,450,1200,2.5
FAB-KRT-CT-002,180,4.5,4.2,5.5,8,1200,5000,3.8
FAB-SRE-SLK-003,1200,3.1,1.2,1.8,45,45,800,1.1
FAB-SRE-CTN-004,450,3.8,2.5,3.2,18,180,1500,2.2
FAB-SHR-LIN-005,300,4.2,2.1,2.8,12,320,2200,2.0
FAB-DUP-PLM-006,100,6.5,5.1,6.5,6,850,4000,4.5
FAB-WST-WOL-007,600,2.5,1.5,2.1,35,90,1100,1.4
FAB-PNT-CTN-008,220,4.8,3.2,4.1,10,410,2800,3.0
FAB-TUN-KMD-009,400,3.5,2.1,2.9,20,150,1800,1.9
FAB-HOM-BD-010,800,3.2,1.8,2.4,28,110,1400,1.6
