sku_id,product_name,category,current_price,cost,current_ad_spend_per_unit,competitor_price,conversion_rate,previous_conversion_rate,roas,ctr,stock_on_hand,days_of_cover,ageing_days,sell_through_rate_weekly,stockout_risk,season_days_left,sales_vs_baseline,trend_change_7d_pct,hero_sku
SKU-RDS-001,Roadster Men Blue Slim Fit Cotton Denim Shirt,Men Casual,1299,550,150,1199,0.024,0.021,4.2,0.032,450,45,20,0.12,0.05,90,1.1,5,false
SKU-HRX-002,HRX by Hrithik Roshan Men Navy Blue Rapid-Dry Training T-shirt,Activewear,899,350,100,849,0.035,0.032,5.5,0.045,1200,60,15,0.18,0.02,120,1.4,12,true
SKU-ANK-003,Anouk Women Mustard Yellow & Pink Printed Pure Cotton Kurta,Ethnic Wear,1499,600,200,1350,0.018,0.025,3.1,0.028,80,12,45,0.05,0.35,15,0.8,-15,false
SKU-BIB-004,Biba Women Fuchsia Pink Embroidered Liva Kurta,Ethnic Wear,2999,1200,450,2899,0.012,0.015,2.1,0.018,25,8,12,0.25,0.65,10,1.8,45,true
SKU-MHB-005,Mast & Harbour Men Maroon Solid Tailored Fit Casual Shirt,Men Casual,1599,700,250,1499,0.022,0.022,3.8,0.031,300,55,35,0.08,0.12,60,0.95,2,false
SKU-DBR-006,DressBerry Women Mauve Solid Ballerinas,Footwear,1899,850,300,1799,0.028,0.026,4.5,0.038,150,25,55,0.15,0.20,0,1.2,10,false
SKU-NIKE-007,Nike Men Black Air Zoom Pegasus 39 Running Shoes,Footwear,10495,6200,1200,9999,0.015,0.012,3.5,0.022,45,30,12,0.04,0.15,0,1.05,5,true
SKU-WRG-008,Wrogn Men Off-White Printed Slim Fit Polo Collar T-shirt,Men Casual,1499,650,220,1399,0.025,0.028,3.2,0.034,500,80,65,0.02,0.05,45,0.7,-25,false
SKU-H&M-009,H&M Men Relaxed Fit Hoodie,Men Casual,2299,1100,400,2399,0.042,0.038,4.8,0.052,15,5,10,0.35,0.85,30,2.1,65,true
SKU-ZARA-010,Zara Women Floral Print Pleated Midi Dress,Women Western,4990,2400,800,4850,0.019,0.022,2.8,0.026,85,42,18,0.06,0.10,20,1.1,8,false
SKU-LEVIS-011,Levi's Men 511 Slim Fit Mid-Rise Clean Look Jeans,Men Casual,3599,1800,500,3499,0.021,0.019,3.4,0.028,250,75,40,0.03,0.08,365,0.9,2,false
SKU-MANGO-012,Mango Women Blue Solid Denim Jacket,Women Western,3990,1900,600,4100,0.024,0.020,4.1,0.032,180,60,25,0.07,0.12,45,1.15,14,false
SKU-ADID-013,Adidas Originals Men White Stan Smith Sneakers,Footwear,8999,5400,1000,8500,0.031,0.028,3.9,0.038,60,22,12,0.12,0.22,0,1.3,18,true
SKU-PUMA-014,Puma Men Grey Training Shorts,Activewear,1299,500,150,1199,0.026,0.024,4.5,0.035,600,120,45,0.05,0.04,90,1.0,-2,false
SKU-W-015,W Women Pink & White Printed Parallel Trousers,Ethnic Wear,1999,850,300,1899,0.018,0.022,2.9,0.025,400,90,75,0.02,0.05,15,0.6,-35,false
SKU-HERE-016,Here&Now Men Black Typography Printed T-shirt,Men Casual,699,280,80,649,0.045,0.040,6.2,0.055,2000,150,20,0.10,0.01,365,1.5,22,false
SKU-ET-017,Ether Men Charcoal Grey Melange Sweatshirt,Men Casual,1499,650,250,1350,0.022,0.025,3.1,0.029,150,30,55,0.08,0.18,30,0.8,-12,false
SKU-CASIO-018,Casio Enticer Men Black Analogue Watch,Accessories,4595,2800,600,4200,0.012,0.010,2.5,0.018,45,45,120,0.02,0.12,0,0.9,-5,false
SKU-RAYB-019,Ray-Ban Unisex Polarized Aviator Sunglasses,Accessories,9590,5800,1500,8999,0.014,0.012,2.8,0.020,30,25,45,0.04,0.25,0,1.1,10,true
SKU-VAN-020,Van Heusen Men Blue Solid Formal Shirt,Men Formal,1999,950,400,1899,0.025,0.025,3.6,0.032,400,120,60,0.03,0.05,365,0.95,0,false
