sku_id,product_name,product_type
MYN-W-0001,Myntra Moda Rapido Lightweight Jacket - Navy - Cotton Blend - Relaxed Fit,stable
MYN-W-0002,Myntra Vastranand Silk Blend Saree - Olive - Wool Blend - Slim Fit,stable
MYN-W-0003,Myntra DressBerry Longline Coat - Maroon - Polyester - Oversized,stable
MYN-W-0004,Myntra Mitera Banarasi Saree - Beige - Silk Blend - Regular Fit,stable
MYN-W-0005,Myntra HRX Insulated Training Jacket - Grey - Viscose - Relaxed Fit,stable
MYN-W-0006,Myntra Libas Straight Kurta - Mustard - Cotton - Slim Fit,stable
MYN-W-0007,Myntra HERE&NOW Quilted Jacket - Teal - Cotton Blend - Oversized,stable
MYN-W-0008,Myntra Anouk Winter Kurta Set - Off-White - Wool Blend - Regular Fit,stable
MYN-W-0009,Myntra Saree Mall Embellished Saree - Brown - Polyester - Relaxed Fit,stable
MYN-W-0010,Myntra KASSUALLY Faux Fur Jacket - Black - Silk Blend - Slim Fit,stable
MYN-W-0011,Myntra Kalini Printed Saree - Navy - Viscose - Oversized,stable
MYN-W-0012,Myntra WROGN Hooded Jacket - Olive - Cotton - Regular Fit,stable
MYN-W-0013,Myntra Indo Era Kurta Set - Maroon - Cotton Blend - Relaxed Fit,stable
MYN-W-0014,Myntra Mast & Harbour Bomber Jacket - Beige - Wool Blend - Slim Fit,stable
MYN-W-0015,Myntra Sangria Woven Design Kurta - Grey - Polyester - Oversized,stable
MYN-W-0016,Myntra Roadster Puffer Jacket - Mustard - Silk Blend - Regular Fit,stable
MYN-W-0017,Myntra Moda Rapido Lightweight Jacket - Teal - Viscose - Relaxed Fit,stable
MYN-W-0018,Myntra Vastranand Silk Blend Saree - Off-White - Cotton - Slim Fit,stable
MYN-W-0019,Myntra DressBerry Longline Coat - Brown - Cotton Blend - Oversized,stable
MYN-W-0020,Myntra Mitera Banarasi Saree - Black - Wool Blend - Regular Fit,stable
MYN-W-0021,Myntra HRX Insulated Training Jacket - Navy - Polyester - Relaxed Fit,stable
MYN-W-0022,Myntra Libas Straight Kurta - Olive - Silk Blend - Slim Fit,stable
MYN-W-0023,Myntra HERE&NOW Quilted Jacket - Maroon - Viscose - Oversized,stable
MYN-W-0024,Myntra Anouk Winter Kurta Set - Beige - Cotton - Regular Fit,stable
MYN-W-0025,Myntra Saree Mall Embellished Saree - Grey - Cotton Blend - Relaxed Fit,stable
MYN-W-0026,Myntra KASSUALLY Faux Fur Jacket - Mustard - Wool Blend - Slim Fit,stable
MYN-W-0027,Myntra Kalini Printed Saree - Teal - Polyester - Oversized,stable
MYN-W-0028,Myntra WROGN Hooded Jacket - Off-White - Silk Blend - Regular Fit,stable
MYN-W-0029,Myntra Indo Era Kurta Set - Brown - Viscose - Relaxed Fit,stable
MYN-W-0030,Myntra Mast & Harbour Bomber Jacket - Black - Cotton - Slim Fit,stable
MYN-W-0031,Myntra Sangria Woven Design Kurta - Navy - Cotton Blend - Oversized,stable
MYN-W-0032,Myntra Roadster Puffer Jacket - Olive - Wool Blend - Regular Fit,stable
MYN-W-0033,Myntra Moda Rapido Lightweight Jacket - Maroon - Polyester - Relaxed Fit,stable
MYN-W-0034,Myntra Vastranand Silk Blend Saree - Beige - Silk Blend - Slim Fit,stable
MYN-W-0035,Myntra DressBerry Longline Coat - Grey - Viscose - Oversized,stable
MYN-W-0036,Myntra Mitera Banarasi Saree - Mustard - Cotton - Regular Fit,stable
MYN-W-0037,Myntra HRX Insulated Training Jacket - Teal - Cotton Blend - Relaxed Fit,stable
MYN-W-0038,Myntra Libas Straight Kurta - Off-White - Wool Blend - Slim Fit,stable
MYN-W-0039,Myntra HERE&NOW Quilted Jacket - Brown - Polyester - Oversized,stable
MYN-W-0040,Myntra Anouk Winter Kurta Set - Black - Silk Blend - Regular Fit,stable
MYN-W-0041,Myntra Saree Mall Embellished Saree - Navy - Viscose - Relaxed Fit,stable
MYN-W-0042,Myntra KASSUALLY Faux Fur Jacket - Olive - Cotton - Slim Fit,stable
MYN-W-0043,Myntra Kalini Printed Saree - Maroon - Cotton Blend - Oversized,stable
MYN-W-0044,Myntra WROGN Hooded Jacket - Beige - Wool Blend - Regular Fit,stable
MYN-W-0045,Myntra Indo Era Kurta Set - Grey - Polyester - Relaxed Fit,stable
MYN-W-0046,Myntra Mast & Harbour Bomber Jacket - Mustard - Silk Blend - Slim Fit,stable
MYN-W-0047,Myntra Sangria Woven Design Kurta - Teal - Viscose - Oversized,stable
MYN-W-0048,Myntra Roadster Puffer Jacket - Off-White - Cotton - Regular Fit,stable
MYN-W-0049,Myntra Moda Rapido Lightweight Jacket - Brown - Cotton Blend - Relaxed Fit,stable
MYN-W-0050,Myntra Vastranand Silk Blend Saree - Black - Wool Blend - Slim Fit,stable
MYN-W-0051,Myntra DressBerry Longline Coat - Navy - Polyester - Oversized,stable
MYN-W-0052,Myntra Mitera Banarasi Saree - Olive - Silk Blend - Regular Fit,stable
MYN-W-0053,Myntra HRX Insulated Training Jacket - Maroon - Viscose - Relaxed Fit,stable
MYN-W-0054,Myntra Libas Straight Kurta - Beige - Cotton - Slim Fit,stable
MYN-W-0055,Myntra HERE&NOW Quilted Jacket - Grey - Cotton Blend - Oversized,stable
MYN-W-0056,Myntra Anouk Winter Kurta Set - Mustard - Wool Blend - Regular Fit,stable
MYN-W-0057,Myntra Saree Mall Embellished Saree - Teal - Polyester - Relaxed Fit,stable
MYN-W-0058,Myntra KASSUALLY Faux Fur Jacket - Off-White - Silk Blend - Slim Fit,stable
MYN-W-0059,Myntra Kalini Printed Saree - Brown - Viscose - Oversized,stable
MYN-W-0060,Myntra WROGN Hooded Jacket - Black - Cotton - Regular Fit,stable
MYN-W-0061,Myntra Indo Era Kurta Set - Navy - Cotton Blend - Relaxed Fit,stable
MYN-W-0062,Myntra Mast & Harbour Bomber Jacket - Olive - Wool Blend - Slim Fit,stable
MYN-W-0063,Myntra Sangria Woven Design Kurta - Maroon - Polyester - Oversized,stable
MYN-W-0064,Myntra Roadster Puffer Jacket - Beige - Silk Blend - Regular Fit,stable
MYN-W-0065,Myntra Moda Rapido Lightweight Jacket - Grey - Viscose - Relaxed Fit,stable
MYN-W-0066,Myntra Vastranand Silk Blend Saree - Mustard - Cotton - Slim Fit,stable
MYN-W-0067,Myntra DressBerry Longline Coat - Teal - Cotton Blend - Oversized,stable
MYN-W-0068,Myntra Mitera Banarasi Saree - Off-White - Wool Blend - Regular Fit,stable
MYN-W-0069,Myntra HRX Insulated Training Jacket - Brown - Polyester - Relaxed Fit,stable
MYN-W-0070,Myntra Libas Straight Kurta - Black - Silk Blend - Slim Fit,stable
MYN-W-0071,Myntra HERE&NOW Quilted Jacket - Navy - Viscose - Oversized,stable
MYN-W-0072,Myntra Anouk Winter Kurta Set - Olive - Cotton - Regular Fit,stable
MYN-W-0073,Myntra Saree Mall Embellished Saree - Maroon - Cotton Blend - Relaxed Fit,stable
MYN-W-0074,Myntra KASSUALLY Faux Fur Jacket - Beige - Wool Blend - Slim Fit,stable
MYN-W-0075,Myntra Kalini Printed Saree - Grey - Polyester - Oversized,stable
MYN-W-0076,Myntra WROGN Hooded Jacket - Mustard - Silk Blend - Regular Fit,stable
